epoch,train_loss,val_acc,val_ci
1,1.461566036939621,53.72000019624829,1.8386514157946674
2,1.3164284884929658,55.68000012636185,1.883339257152622
3,1.3881026744842528,56.03999998793006,1.7688545115943914
4,1.311006587743759,57.31999979913235,1.7381345034795457
5,1.2992738366127015,59.76000040769577,1.8446305020153202
6,1.2227896273136138,57.059999883174896,1.7849226823473834
7,1.2381804406642913,59.62000008672476,1.7702574205872943
8,1.2791895747184754,56.9199999794364,1.911299136175425
9,1.1614942222833633,61.26000018417835,1.9272855750871212
10,1.196649467945099,61.92000015825033,1.7201377447534765
11,1.2054374814033508,58.660000160336494,1.674016021967966
12,1.2069072544574737,61.21999993920326,1.813863475883834
13,1.1954112380743027,58.880000200122595,1.9237424902324682
14,1.175390926003456,59.12000013142824,1.9035669331485008
15,1.094022199511528,61.780000023543835,1.787706529199358
16,1.1284701913595199,63.5400001257658,1.8881036457779101
17,1.1008263856172562,60.70000009983778,1.9191430361661075
18,1.1428713232278824,62.300000086426735,1.9078437642954842
19,1.1156192868947983,63.4200002849102,1.8561128032766607
20,1.1032026141881943,67.54000023752451,1.8138464424628498
21,0.9772643178701401,61.52000018209219,1.9503713920731092
22,1.0806227773427963,63.18000037223101,1.8526982887578942
23,1.0936234712600708,64.66000019013882,1.6521938323068668
24,1.0580891579389573,64.20000019297004,2.1371593384064997
25,0.9486989945173263,62.52000015974045,1.8460281002870016
26,1.0144536942243576,63.30000001937151,2.1670743660120815
27,1.0464815497398376,62.78000018000603,1.9213627588544888
28,0.97943617105484,66.90000014007092,1.8356482182611629
29,1.0216596454381943,64.84000004827976,1.83703799875234
30,0.9768567144870758,65.70000035315752,1.9956743599683824
