epoch,train_loss,val_acc,val_ci
1,1.4774677217006684,50.58000013977289,1.822103569151504
2,1.3920117020606995,54.48000002652407,1.7867236095301688
3,1.357888299226761,58.28000004589558,1.868644696596307
4,1.3089362323284148,56.35999997705221,1.9165279339220227
5,1.2167746067047118,56.60000017285347,2.075571577414988
6,1.218833827972412,58.46000014990568,1.8925970228380355
7,1.2832612872123719,56.76000013202429,2.165614720013813
8,1.194323444366455,59.14000002294779,1.989039129514189
9,1.1671032637357712,59.44000028073788,1.892892779845819
10,1.210640099644661,61.12000024318695,2.009342202650227
11,1.1417691200971603,60.76000002771616,1.8477673838782873
12,1.1841999232769012,58.69999998807907,1.9711472289961123
13,1.1386578798294067,58.12000012397766,2.0942086144876657
14,1.132064625620842,60.78000010177493,1.9935528521034798
15,1.0870640695095062,60.8600003644824,2.0358508915160143
16,1.0850560367107391,59.70000010728836,2.0577772009406705
17,1.0793778389692306,61.30000001192093,1.9025748498893291
18,1.0718231469392776,62.28000017255545,1.8081606436508784
19,1.091281419992447,65.18000027537346,1.9741691402079036
20,1.0482338339090347,60.940000128000975,1.9387901657556061
21,1.087189519405365,60.340000197291374,1.8194572214968205
22,1.151257273554802,58.840000070631504,1.870362955124742
23,1.100238487124443,62.16000022739172,1.859805456904718
24,1.0633354008197784,63.62000027298927,1.8908989398849643
25,1.0904572516679765,61.82000025361776,1.8126711126438442
26,1.0774141639471053,61.84000030905008,1.775695025066461
27,1.0198719471693038,61.58000011742115,1.8406556675313246
28,1.0951321244239807,65.28000029176474,2.0387939609368595
29,1.0972159892320632,63.10000002384186,1.820017328375303
30,1.1260170102119447,62.3800001218915,2.095084117793391
