epoch,train_loss,val_acc,val_ci
1,1.5080194354057312,54.02000027149916,1.8871382491477673
2,1.4258379578590392,55.340000100433826,1.9449933777904198
3,1.3362922430038453,55.9800001680851,2.0241502853478943
4,1.2565910518169403,54.65999988093972,1.9493555931450641
5,1.269211620092392,59.10000014305115,1.7552233204910006
6,1.264877861738205,56.28000006824732,1.8744210096386025
7,1.2676583111286164,60.580000191926956,1.860268357512696
8,1.2069452822208404,60.66000001132488,1.8597535336449655
9,1.292112308740616,58.200000166893005,1.7730055094530435
10,1.2173943281173707,59.30000030249357,1.8685848226072208
11,1.175753203034401,56.620000056922436,1.766327302070696
12,1.2298905849456787,59.38000013679266,1.813778359043656
13,1.1696200877428056,60.780000165104866,1.6530535986453343
14,1.1393949866294861,58.76000023633242,1.9620790856670411
15,1.2020803481340407,60.36000034213066,1.7068255259174823
16,1.16286381483078,57.780000030994415,1.7589675296922946
17,1.1597337961196899,62.1200001463294,1.7441659678050268
18,1.1337058335542678,58.28000021725893,1.977852217462711
19,1.2104146301746368,59.16000037640333,1.8744869391998058
20,1.1145801723003388,58.80000015348196,1.851616414686977
21,1.1832198202610016,63.460000075399876,1.936159714345604
22,1.1113169014453887,63.760000109672546,1.6697321729117438
23,1.1601495325565339,63.340000092983246,1.8803992633953022
24,1.1201476842164992,63.30000003427267,1.7986786618060409
25,1.0478165954351426,65.52000016719103,1.9747655285427863
26,1.150004294514656,62.800000205636024,1.9396044649188857
27,1.0436052560806275,64.28000020980835,1.9637470129807801
28,1.0935723274946212,60.240000165998936,1.900709018390359
29,1.039727398753166,63.34000042080879,1.8951248962653209
30,1.007596817612648,62.94000010192394,1.9518891216412912
