epoch,train_loss,val_acc,val_ci
1,1.4707783877849578,59.32000024244189,2.0131431334572505
2,1.3929959058761596,55.939999878406525,1.8520146196073188
3,1.4136209726333617,57.86000004410744,2.0756664455665756
4,1.3671672999858857,57.94000002741814,2.10382306208991
5,1.4002162337303161,56.84000013768673,1.9755708831082035
6,1.3585359454154968,59.88000001758337,1.9890643605337217
7,1.267411994934082,58.18000027537346,1.9974998333079104
8,1.2598486363887786,60.42000004649162,1.8469376488075977
9,1.222389328479767,57.80000037327409,2.010563899748263
10,1.2607738494873046,60.340000100433826,1.979621981436477
11,1.1825687646865846,60.68000014871359,1.946051143150795
12,1.2077326267957686,58.880000077188015,1.8484108302797309
13,1.213434100151062,59.92000016570091,1.9554325370678707
14,1.1158495485782622,58.34000012278557,1.8963468939006145
15,1.1843725830316543,64.59999997913837,1.8580691016220858
16,1.1217506259679795,62.24000009894371,1.942500553877077
17,1.202707016468048,61.06000021845102,1.9103030029545975
18,1.1870126336812974,61.76000016927719,1.9409098272991232
19,1.1559046059846878,65.08000011742115,1.9639042984630997
20,1.1245681196451187,62.1800000295043,1.9655451805759863
21,1.0962262868881225,62.98000030219555,1.7003051749433769
22,1.049648901820183,61.5800002142787,1.6993057712959643
23,1.0853362888097764,62.28000000119209,2.0679382961357886
24,1.0947770833969117,61.840000331401825,1.96322004515868
25,1.101625680923462,63.000000186264515,1.8228259639272029
26,1.1145107656717301,64.16000010073185,1.7817726528677489
27,1.0475841999053954,67.3000001758337,2.054397182365245
28,1.0852034717798233,63.94000020623207,1.7718967700466761
29,1.0861933171749114,63.30000015348196,1.9295759328469209
30,1.1568827271461486,59.54000014811754,2.0602074175119234
